Abomasite
Absolite
Aerodactylite
Aggronite
Aguav Berry
Air Balloon
Alakazite
Aloraichium Z
Altarianite
Ampharosite
Apicot Berry
Assault Vest
Audinite
Babiri Berry
Banettite
Beedrillite
Berry Juice
Big Root
Binding Band
Black Glasses
Black Sludge
Blastoisinite
Blazikenite
Blue Orb
Bug Memory
Buginium Z
Cameruptite
Cell Battery
Charizardite X
Charizardite Y
Charti Berry
Chesto Berry
Choice Band
Choice Scarf
Choice Specs
Chople Berry
Colbur Berry
Custap Berry
Damp Rock
Dark Memory
Darkinium Z
Darkium Z
Decidium Z
Deep Sea Tooth
Diancite
Draco Plate
Dragon Fang
Dragon Memory
Dragonium Z
Dread Plate
Earth Plate
Eevium Z
Eject Button
Electric Memory
Electric Seed
Electrium Z
Eviolite
Expert Belt
Fairium Z
Fairy Memory
Fighting Memory
Fightinium Z
Figy Berry
Fire Memory
Firium Z
Fist Plate
Flame Orb
Flame Plate
Flying Memory
Flyinium Z
Focus Sash
Galladite
Garchompite
Gardevoirite
Gengarite
Ghost Memory
Ghostium Z
Glalitite
Grass Memory
Grassium Z
Grassy Seed
Grip Claw
Griseous Orb
Ground Memory
Groundium Z
Gyaradosite
Haban Berry
Heat Rock
Heracronite
Houndoominite
Iapapa Berry
Ice Memory
Icicle Plate
Icium Z
Icy Rock
Incinium Z
Insect Plate
Iron Ball
Iron Plate
Kangaskhanite
Kasib Berry
Kebia Berry
Kee Berry
King's Rock
Kommonium Z
Latiasite
Latiosite
Leftovers
Liechi Berry
Life Orb
Light Ball
Light Clay
Lopunnite
Lucarionite
Lucky Punch
Lum Berry
Lunalium Z
Lustrous Orb
Lycanium Z
Magnet
Mago Berry
Manectite
Maranga Berry
Marshadium Z
Mawilite
Meadow Plate
Medichamite
Mental Herb
Metagrossite
Metronome
Mewnium Z
Mewtwonite X
Mewtwonite Y
Mimikium Z
Mind Plate
Misty Seed
Never-Melt Ice
Normal Gem
Normalium Z
Occa Berry
Oran Berry
Passho Berry
Payapa Berry
Petaya Berry
Pidgeotite
Pikanium Z
Pikashunium Z
Pinsirite
Pixie Plate
Poison Barb
Poison Memory
Poisonium Z
Power Anklet
Power Herb
Primarium Z
Psychic Memory
Psychic Seed
Psychium Z
Quick Claw
Razor Claw
Red Card
Red Orb
Rindo Berry
Rock Memory
Rockium Z
Rocky Helmet
Roseli Berry
Sablenite
Salac Berry
Salamencite
Sceptilite
Scizorite
Scope Lens
Sharp Beak
Sharpedonite
Shed Shell
Shell Bell
Shuca Berry
Silk Scarf
Sitrus Berry
Sky Plate
Slowbronite
Smooth Rock
Snorlium Z
Soft Sand
Solganium Z
Soul Dew
Spell Tag
Splash Plate
Steel Memory
Steelium Z
Steelixite
Stick
Stone Plate
Swampertite
Tanga Berry
Tapunium Z
Terrain Extender
Thick Club
Toxic Orb
Toxic Plate
Tyranitarite
Ultranecrozium Z
Venusaurite
Wacan Berry
Water Memory
Waterium Z
Weakness Policy
White Herb
Wide Lens
Wiki Berry
Yache Berry
Zap Plate
Zoom Lens
