2600
2
Rotom-Mow,Electric,Grass,NU,COMMON
Lurantis,Grass,,PU,COMMON
Raichu-Alola,Electric,Psychic,PU,COMMON
Vileplume,Grass,Poison,NU,COMMON
Dartrix,Grass,Flying,NFE,COMMON
Parasect,Bug,Grass,PU,COMMON
Shiftry,Grass,Dark,PU,COMMON
Vileplume,Grass,Poison,NU,COMMON
Amoonguss,Grass,Poison,UU,RARE
Gloom,Grass,Poison,NFE,COMMON
Vileplume,Grass,Poison,NU,COMMON
Bellossom,Grass,,PU,COMMON
Parasect,Bug,Grass,PU,COMMON
Leafeon,Grass,,PU,COMMON
Simisage,Grass,,PU,COMMON
Simisage,Grass,,PU,COMMON
Servine,Grass,,NFE,COMMON
Gloom,Grass,Poison,NFE,COMMON
Heracross,Bug,Fighting,UU,RARE
Carnivine,Grass,,PU,COMMON
Simisage,Grass,,PU,COMMON
Vileplume,Grass,Poison,NU,COMMON
Exeggutor-Alola,Grass,Dragon,PU,COMMON
Simisage,Grass,,PU,COMMON
